APFP,COUNT
12846113,1
12846115,22
12846116,7
12846117,7
12846118,2
12846119,11
12846120,28
12846121,4
12846122,8
12846123,2
12846124,1
12846125,8
12846126,2
12846127,1
12846145,38
12846146,23
12846147,55
12846148,56
12846149,29
12846150,49
12846151,8
12846152,13
12846153,12
12846154,7
12846155,4
12846156,2
12846157,3
12846158,2
12846177,46
12846178,31
12846179,10
12846180,5
12846181,8
12846182,1
12846183,20
12846184,1
12846185,1
12846189,1
12846209,1
12846214,11
12846215,1
12846402,3
12846403,13
12846404,43
12846405,70
12846406,73
12846407,42
12846408,42
12846409,66
12846410,60
12846411,34
12846412,8
12846413,8
12846414,4
12846415,4
12846416,3
12846417,3
12846418,2
12846419,1
12846433,32
12846434,11
12846435,64
12846436,37
12846437,41
12846438,58
12846439,59
12846440,57
12846441,14
12846442,16
12846443,21
12846444,3
12846445,4
12846446,2
12846447,1
12846448,1
12846663,1
12847141,2
12847143,5
12847146,1
12847170,85
12847172,37
12847173,8
12847174,1
12847175,33
12847176,1
12847177,1
12847202,5
12847205,7
12847208,3
12847210,1
12847428,2
12847429,1
12847430,1
12847433,6
12847434,1
12847458,1
12847459,2
12847462,2
12847463,2
12847464,1
12847465,1
12847468,1
12847656,1
12848161,126
12848162,1
12848163,39
12848167,4
12848168,2
12848169,3
12848170,1
12848171,2
12848172,1
12848173,1
12848193,2
12848196,7
12848197,2
12848199,7
12848200,3
12848201,5
12848203,2
12848204,12
12848205,2
12848206,2
12848207,1
12848417,127
12848418,30
12848419,39
12848420,71
12848423,41
12848424,4
12848425,4
12848426,5
12848427,2
12848428,1
12848429,1
12848453,1
12849190,1
12849191,5
12849192,1
12849195,1
12849196,2
12849199,2
12851330,39
14746660,3
14746661,3
14746663,8
14746664,1
14746665,1
14746666,9
14746667,3
14746668,2
14746669,3
14746671,1
14746672,1
14746689,6
14746690,23
14746691,23
14746692,2
14746693,10
14746694,20
14746695,10
14746696,14
14746697,7
14746698,4
14746721,1
14746722,1
14746725,1
14746726,7
14746758,1
14746760,1
14746916,1
14746946,20
14746947,22
14746948,24
14746949,7
14746950,21
14746951,25
14746952,21
14746953,20
14746954,21
14746955,22
14746956,23
14746957,17
14746958,5
14746959,1
14746977,28
14746978,3
14746979,31
14746980,38
14746981,31
14746982,10
14746983,21
14746984,31
14746985,19
14746986,22
14746987,8
14746988,4
14746989,1
14746990,1
14747211,3
14747212,3
14747683,1
14747685,2
14747687,1
14747690,1
14747715,15
14747716,3
14747717,1
14747718,8
14747721,9
14747722,1
14747747,11
14747748,1
14747750,3
14747752,2
14747754,1
14747970,28
14747971,7
14747972,2
14747973,4
14747974,5
14747976,1
14748002,4
14748708,2
14748710,1
14748712,1
14748739,1
14748740,2
14748741,19
14748745,15
14748746,4
14748747,2
14748750,1
14748751,1
14748963,1
14748964,2
14748965,41
14748966,10
14748968,2
14748969,8
14748970,2
14748971,1
14748972,2
14749737,3
14749738,2
14749739,3
14749740,2
14749741,2
14752803,1
14752808,1
14812193,27
14812194,26
14812195,7
14812196,31
14812197,32
14812198,27
14812199,52
14812200,19
14812201,23
14812202,30
14812203,36
14812204,13
14812205,14
14812206,7
14812207,9
14812208,13
14812209,15
14812210,6
14812211,1
14812213,1
14812217,1
14812225,234
14812226,179
14812227,92
14812228,63
14812229,62
14812230,34
14812231,33
14812232,31
14812233,25
14812234,28
14812235,21
14812236,20
14812237,13
14812238,6
14812239,9
14812240,16
14812241,9
14812242,5
14812243,3
14812244,1
14812245,2
14812246,1
14812247,1
14812257,63
14812258,12
14812259,38
14812260,1
14812261,9
14812262,18
14812264,4
14812265,5
14812266,3
14812267,7
14812268,3
14812269,1
14812270,2
14812271,1
14812272,5
14812273,1
14812274,1
14812279,1
14812280,1
14812289,52
14812291,4
14812292,6
14812293,1
14812294,2
14812295,6
14812296,1
14812298,1
14812299,4
14812300,1
14812302,1
14812303,3
14812313,1
14812452,2
14812453,1
14812481,3
14812482,138
14812483,129
14812484,152
14812485,190
14812486,194
14812487,198
14812488,149
14812489,117
14812490,149
14812491,106
14812492,37
14812493,24
14812494,13
14812495,8
14812496,8
14812497,8
14812498,6
14812499,3
14812513,203
14812514,182
14812515,193
14812516,264
14812517,194
14812518,182
14812519,156
14812520,152
14812521,130
14812522,49
14812523,42
14812524,86
14812525,9
14812526,36
14812527,12
14812528,6
14812529,4
14812530,2
14812532,2
14812533,1
14812535,1
14812536,1
14812716,1
14812739,5
14812741,10
14812742,9
14812743,3
14812744,1
14812745,2
14812747,3
14812748,3
14812749,3
14812750,3
14813218,2
14813219,1
14813220,5
14813221,1
14813222,3
14813223,3
14813224,1
14813225,3
14813226,1
14813229,5
14813232,4
14813235,1
14813236,1
14813237,2
14813240,1
14813250,30
14813251,33
14813252,43
14813253,84
14813254,24
14813255,23
14813256,10
14813257,10
14813258,7
14813259,4
14813260,2
14813261,28
14813263,9
14813264,3
14813267,2
14813270,2
14813281,3
14813282,63
14813283,62
14813284,41
14813285,13
14813286,10
14813287,7
14813288,2
14813289,4
14813290,4
14813291,2
14813292,2
14813293,2
14813294,1
14813295,1
14813296,1
14813299,1
14813474,1
14813476,14
14813479,2
14813493,2
14813496,1
14813505,6
14813506,80
14813507,45
14813508,16
14813509,12
14813510,24
14813511,21
14813512,8
14813513,6
14813514,3
14813515,2
14813516,4
14813517,3
14813519,1
14813520,2
14813521,1
14813538,8
14813539,5
14813540,1
14813541,23
14813542,2
14813543,14
14813545,8
14813546,1
14813547,2
14813550,2
14813552,1
14813732,5
14813734,2
14813735,1
14813736,2
14813738,2
14813741,1
14814243,16
14814244,33
14814245,63
14814246,40
14814247,18
14814248,8
14814249,10
14814250,14
14814251,6
14814252,10
14814253,14
14814254,9
14814255,2
14814256,1
14814259,1
14814275,6
14814276,2
14814277,16
14814278,21
14814279,14
14814280,61
14814281,28
14814282,31
14814283,7
14814284,8
14814285,21
14814286,4
14814287,11
14814288,1
14814289,2
14814291,1
14814292,1
14814498,7
14814499,102
14814500,155
14814501,122
14814502,66
14814503,79
14814504,33
14814505,19
14814506,26
14814507,15
14814508,12
14814509,22
14814510,2
14814511,34
14814512,5
14814513,1
14814514,1
14814515,2
14814518,1
14814521,1
14814530,5
14814531,4
14814532,10
14814534,2
14814535,6
14814538,1
14814540,2
14814541,1
14815266,2
14815268,1
14815269,3
14815270,2
14815271,4
14815272,3
14815274,1
14815275,1
14815276,1
14815277,4
14815279,1
14815280,1
14815290,1
14817410,3
14817412,3
14818339,5
14818370,32
14818372,3
14818374,1
14818376,2
14818377,4
14818378,1
14877729,2
14877739,1
14877744,1
14877745,1
14877761,1
14877762,1
14877763,1
14877769,1
14877770,1
14877772,1
14877774,1
14877775,1
14877776,1
14877793,1
14877839,1
14878018,3
14878019,3
14878021,1
14878022,2
14878023,3
14878024,2
14878025,2
14878026,1
14878027,1
14878028,1
14878029,1
14878030,1
14878049,3
14878050,1
14878051,1
14878052,4
14878053,2
14878054,2
14878055,2
14878056,2
14878057,1
14878058,1
14878059,1
14878060,2
14878061,1
14878062,1
14878063,1
14878277,1
14878278,1
14878788,1
14878797,1
14878798,1
14878800,1
14878818,1
14878820,1
14879777,3
14879779,1
14879781,1
14879791,2
14879813,1
14880033,1
14880035,1
14880036,1
14880038,1
14880043,1
14880045,1
14880046,1
14880047,1
14880048,1
14943265,138
14943266,73
14943267,113
14943268,372
14943269,195
14943270,321
14943271,113
14943272,109
14943273,197
14943274,173
14943275,158
14943276,81
14943277,102
14943278,39
14943279,54
14943280,41
14943281,31
14943282,6
14943283,5
14943284,7
14943285,6
14943287,1
14943288,3
14943292,2
14943297,345
14943298,1073
14943299,1137
14943300,432
14943301,420
14943302,595
14943303,352
14943304,205
14943305,218
14943306,160
14943307,117
14943308,136
14943309,72
14943310,59
14943311,50
14943312,37
14943313,20
14943314,22
14943315,17
14943316,9
14943317,6
14943318,6
14943319,1
14943320,3
14943321,3
14943323,3
14943324,2
14943326,2
14943329,96
14943330,293
14943331,389
14943332,126
14943333,63
14943334,76
14943335,42
14943336,58
14943337,13
14943338,19
14943339,20
14943340,9
14943341,13
14943342,5
14943343,3
14943344,5
14943345,4
14943346,1
14943347,8
14943348,4
14943351,1
14943355,1
14943361,189
14943362,167
14943363,103
14943364,52
14943365,14
14943366,24
14943367,14
14943368,11
14943369,16
14943370,16
14943371,87
14943372,4
14943373,6
14943374,2
14943375,6
14943376,10
14943377,7
14943380,1
14943381,3
14943386,1
14943524,4
14943525,9
14943527,1
14943528,1
14943529,2
14943533,1
14943536,1
14943554,1626
14943555,1723
14943556,612
14943557,441
14943558,677
14943559,904
14943560,866
14943561,575
14943562,379
