APFP,COUNT
10552354,5
10552355,16
10552356,7
10552357,6
10552358,2
10552359,3
10552360,2
10552361,2
10552362,2
10552363,1
10552365,1
10552385,6
10552386,15
10552387,17
10552388,16
10552389,7
10552390,3
10552391,1
10552392,1
10552393,1
10552417,6
10552418,6
10552419,6
10552421,1
10552449,5
10552450,4
10552452,1
10552456,1
10552457,1
10552610,1
10552611,3
10552612,5
10552613,2
10552614,2
10552615,1
10552641,1
10552642,8
10552643,12
10552644,8
10552645,6
10552646,2
10552647,2
10552673,4
10552674,14
10552675,9
10552676,3
10552677,1
10552678,3
10552679,1
10552680,1
10552868,2
10552897,1
10552898,1
10552899,3
10552900,2
10553409,4
10553411,4
10553441,5
10553442,1
10553473,1
10553479,1
10553893,2
10554401,1
10554402,1
10554403,4
10554404,1
10554433,25
10554434,9
10554435,3
10554436,2
10554437,2
10554443,1
10554658,2
10554659,7
10554660,4
10554661,1
10554662,1
10554664,1
10554665,1
10555425,1
10556450,3
10556451,1
10556452,1
10616865,1
10617889,12
10617890,23
10617891,30
10617892,15
10617893,7
10617894,9
10617895,9
10617896,4
10617897,5
10617898,3
10617899,4
10617900,2
10617901,2
10617902,2
10617903,1
10617904,1
10617905,2
10617907,1
10617908,1
10617911,2
10617912,1
10617913,2
10617914,1
10617915,1
10617916,1
10617918,1
10617921,26
10617922,22
10617923,15
10617924,17
10617925,9
10617926,9
10617927,6
10617928,6
10617929,4
10617930,5
10617931,4
10617932,6
10617933,5
10617934,4
10617935,2
10617936,2
10617937,2
10617939,2
10617940,2
10617941,2
10617942,1
10617943,1
10617944,2
10617945,1
10617947,1
10617948,1
10617949,1
10617950,1
10617953,14
10617954,8
10617955,12
10617956,2
10617957,2
10617958,2
10617959,4
10617960,1
10617961,1
10617963,1
10617965,1
10617969,1
10617970,3
10617971,2
10617972,2
10617973,2
10617974,2
10617975,2
10617976,1
10617978,1
10617979,1
10617980,1
10617981,1
10617982,1
10617985,8
10617986,3
10617987,3
10617990,3
10617991,1
10617992,2
10617993,2
10617994,1
10617995,2
10618000,1
10618003,1
10618007,1
10618008,1
10618010,1
10618011,1
10618013,1
10618146,1
10618147,3
10618148,1
10618177,2
10618178,8
10618179,5
10618180,10
10618181,9
10618182,9
10618183,3
10618184,2
